Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,15800.0,15856.2998046875,15698.0,15746.0,15746.0,22888
2021-01-04,15793.75,15862.900390625,15630.900390625,15668.0498046875,15668.0498046875,16723
2021-01-05,15668.0,15839.900390625,15551.900390625,15605.7001953125,15605.7001953125,22730
2021-01-06,15689.25,15800.0,15483.5498046875,15550.9501953125,15550.9501953125,15681
2021-01-07,15664.2998046875,15700.0,15400.0,15435.9501953125,15435.9501953125,19630
2021-01-08,15549.900390625,15699.9501953125,15445.0498046875,15496.0498046875,15496.0498046875,13199
2021-01-11,15520.0,15650.0,15415.0,15483.150390625,15483.150390625,32292
2021-01-12,15566.849609375,15566.849609375,15383.0,15405.400390625,15405.400390625,21062
2021-01-13,15450.7001953125,15505.0,14925.0,15001.5498046875,15001.5498046875,40084
2021-01-14,15100.0,15198.400390625,14992.099609375,15003.5,15003.5,26752
2021-01-15,15076.150390625,15140.0,14922.0,14996.0498046875,14996.0498046875,17186
2021-01-18,15074.0,15074.0,14730.0,14748.650390625,14748.650390625,23904
2021-01-19,14844.650390625,14922.0,14568.0,14601.7001953125,14601.7001953125,27878
2021-01-20,14645.0,14720.0,14325.0,14397.2001953125,14397.2001953125,39316
2021-01-21,14508.849609375,14647.9501953125,14411.2001953125,14487.7998046875,14487.7998046875,28348
2021-01-22,14549.0,14569.9501953125,14350.0,14399.900390625,14399.900390625,17701
2021-01-25,14539.5498046875,14588.599609375,14399.900390625,14546.650390625,14546.650390625,13183
2021-01-27,14600.0,14667.0,14403.099609375,14527.0,14527.0,23458
2021-01-28,14550.0,14618.150390625,14348.9501953125,14576.0498046875,14576.0498046875,9956
2021-01-29,14600.0,14640.650390625,14100.0,14222.0498046875,14222.0498046875,29267
