Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,59500.0,62269.94921875,59365.6015625,61446.05078125,61343.9921875,11453
2020-06-02,61999.0,63738.44921875,61657.69921875,62692.3984375,62588.265625,11885
2020-06-03,63499.94921875,64172.30078125,61129.25,61744.25,61641.6953125,14523
2020-06-04,61844.25,62487.8984375,60710.0,61648.75,61546.3515625,11209
2020-06-05,61705.0,63844.0,61521.1015625,63526.19921875,63420.6875,13614
2020-06-08,63700.0,65150.0,63561.1015625,64244.3984375,64137.69140625,15854
2020-06-09,64970.0,64970.0,63550.0,63994.1484375,63887.85546875,12490
2020-06-10,63990.0,64394.1484375,63250.8984375,63796.3515625,63690.390625,7412
2020-06-11,63699.94921875,64099.94921875,62700.1484375,62884.94921875,62780.50390625,7919
2020-06-12,61000.0,64100.0,59500.0,63729.05078125,63623.19921875,11399
2020-06-15,64950.0,65499.0,62500.0,62993.6015625,62888.97265625,16231
2020-06-16,63725.0,64495.0,62077.5,62660.30078125,62556.2265625,9122
2020-06-17,62748.0,63500.0,62369.05078125,62968.25,62863.6640625,7254
2020-06-18,62888.0,63350.0,62701.05078125,62999.69921875,62895.05859375,4653
2020-06-19,63101.0,63592.94921875,62700.0,62949.30078125,62844.74609375,7143
2020-06-22,63200.0,65200.0,63200.0,64762.75,64655.18359375,11458
2020-06-23,65010.0,65650.546875,64155.69921875,64532.6484375,64425.46484375,8282
2020-06-24,65032.6484375,65870.0,63586.3984375,64128.1015625,64021.58984375,9738
2020-06-25,64160.0,65500.0,63870.0,64809.6484375,64702.00390625,7199
2020-06-26,65009.6484375,67000.0,65009.6484375,66457.703125,66347.3203125,15913
2020-06-29,66400.0,66800.796875,64830.05078125,65196.8984375,65088.61328125,19328
2020-06-30,66480.0,67725.0,65750.0,67274.5,67162.7578125,24297
2020-07-01,66800.0,66800.0,65600.0,65836.796875,65727.4375,13670
2020-07-02,66400.0,66800.0,65800.0,66092.8515625,65983.0703125,9523
2020-07-03,66301.0,66599.953125,65815.453125,66140.25,66030.3984375,8136
2020-07-06,66601.0,67550.0,66350.0,67333.546875,67221.7109375,10688
2020-07-07,67333.546875,67510.0,65600.0,66858.796875,66747.75,11291
2020-07-08,67000.0,67448.6484375,65000.69921875,65287.19921875,65178.76171875,16872
2020-07-09,65944.8984375,66200.0,65050.0,65335.8515625,65227.33203125,11634
2020-07-10,65799.0,65799.0,64515.0,64867.25,64759.51171875,12530
2020-07-13,65100.0,65698.8984375,64350.0,64673.44921875,64566.02734375,8442
2020-07-14,64800.0,64890.0,63610.1484375,64396.0,64289.04296875,10422
2020-07-15,64677.0,65199.94921875,63460.0,63675.3515625,63569.58984375,12777
2020-07-16,64000.0,64132.75,62431.3515625,63537.94921875,63432.41796875,11199
2020-07-17,63998.94921875,65870.8515625,63382.69921875,65360.55078125,65251.98828125,13834
2020-07-20,65500.0,65849.5,64720.1015625,65042.80078125,64934.765625,10937
2020-07-21,65800.0,65900.0,65250.25,65621.1015625,65512.10546875,10307
2020-07-22,65590.0,65590.0,64255.80078125,64407.75,64300.7734375,14416
2020-07-23,64793.55078125,64793.55078125,63100.0,63357.3515625,63252.12109375,13509
2020-07-24,63199.0,63800.0,62700.0,62976.5,62871.90234375,15917
2020-07-27,63580.0,63580.0,61605.0,61931.6015625,61828.734375,14479
2020-07-28,62199.80078125,63000.0,62006.0,62204.8984375,62101.578125,14267
2020-07-29,62400.0,62800.0,61550.0,61815.1015625,61712.43359375,9789
2020-07-30,62000.0,62399.8984375,60700.69921875,61043.1484375,60941.7578125,12271
2020-07-31,61200.0,61600.0,60602.0,61048.55078125,60947.1484375,11425
2020-08-03,61000.0,61800.0,60802.25,60974.6484375,60873.37109375,9152
2020-08-04,61500.0,61700.0,61004.1484375,61270.1015625,61168.33203125,15026
2020-08-05,61400.0,61900.0,61150.0,61519.05078125,61416.87109375,9425
2020-08-06,61500.0,61850.0,61100.0,61345.80078125,61243.90625,4610
2020-08-07,61250.0,63260.0,61250.0,62702.80078125,62598.65234375,29581
2020-08-10,62798.0,63550.0,61700.0,61863.0,61760.24609375,9740
2020-08-11,62200.0,62490.0,61390.0,61460.44921875,61358.3671875,9749
2020-08-12,61640.0,61899.8515625,61350.0,61634.75,61532.375,11449
2020-08-13,61900.0,64352.25,61400.0,63976.5,63870.23828125,29507
2020-08-14,64000.0,64600.0,61200.0,61433.75,61331.71484375,49738
2020-08-17,62199.0,62282.1484375,59940.3984375,60148.05078125,60048.1484375,32399
2020-08-18,60700.0,60879.94921875,60000.0,60205.5,60105.50390625,21461
2020-08-19,60580.0,60720.0,59604.1015625,59837.80078125,59738.4140625,25319
2020-08-20,59998.3515625,60300.0,59235.6484375,59507.30078125,59408.4609375,27828
2020-08-21,59990.0,60150.0,59325.1015625,59627.1484375,59528.11328125,31493
2020-08-24,60000.0,60537.5,59505.05078125,59598.55078125,59499.55859375,22258
2020-08-25,59947.0,60150.0,59067.25,59286.3984375,59187.92578125,23315
2020-08-26,59250.0,59746.25,59250.0,59336.75,59238.1953125,19075
2020-08-27,59786.0,59799.0,59100.0,59316.55078125,59218.02734375,12994
2020-08-28,59400.0,59999.0,59151.0,59579.8515625,59480.89453125,16940
2020-08-31,59999.0,59999.0,57520.05078125,57987.44921875,57891.13671875,17715
2020-09-01,58500.0,58698.94921875,57600.0,58345.30078125,58248.390625,14263
2020-09-02,58410.0,59099.8515625,58000.0,58586.75,58489.4375,12907
2020-09-03,58741.0,58998.0,58304.44921875,58492.1015625,58394.94921875,8086
2020-09-04,58250.0,58800.0,57565.44921875,58425.3984375,58328.359375,11067
2020-09-07,58425.3984375,58854.94921875,58000.0,58374.19921875,58277.2421875,12599
2020-09-08,58500.0,58500.0,58050.0,58212.6484375,58115.9609375,9805
2020-09-09,58200.0,59054.94921875,57867.0,58763.55078125,58665.94921875,12863
2020-09-10,58865.0,59399.0,58700.0,59134.05078125,59035.83203125,9822
2020-09-11,59100.0,59400.0,58445.8984375,59226.69921875,59128.32421875,14081
2020-09-14,59230.05078125,59800.0,58199.8515625,58519.8515625,58515.5234375,17430
2020-09-15,58600.0,59400.0,58200.0,58408.44921875,58404.12890625,40617
2020-09-16,58600.0,59850.0,58508.44921875,59573.94921875,59569.54296875,23565
2020-09-17,59310.0,59778.0,59154.55078125,59530.8515625,59526.44921875,12214
2020-09-18,59600.8515625,59970.0,58530.75,58950.6015625,58946.23828125,17210
2020-09-21,58950.6015625,59079.8984375,57866.0,58159.25,58154.9453125,23226
2020-09-22,58160.0,58350.25,57400.0,57709.55078125,57705.28125,9817
2020-09-23,58000.0,58320.0,56800.0,57211.5,57207.265625,11256
2020-09-24,56999.55078125,57098.1015625,55300.0,55618.8515625,55614.73828125,10032
2020-09-25,55910.0,58000.0,55701.05078125,57461.44921875,57457.19921875,12635
2020-09-28,57800.0,59449.94921875,57800.0,59306.55078125,59302.1640625,12997
2020-09-29,59778.80078125,59890.0,58175.75,59462.3515625,59457.953125,17381
2020-09-30,59300.0,60001.0,58700.0,59572.19921875,59567.79296875,16827
2020-10-01,59570.0,60695.0,59400.0,60578.30078125,60573.8203125,15857
2020-10-05,60800.0,61233.94921875,60300.0,60525.6015625,60521.125,16527
2020-10-06,60800.0,61100.0,60076.3515625,60269.94921875,60265.4921875,9028
2020-10-07,60490.0,61089.69921875,59956.80078125,60601.55078125,60597.06640625,10706
2020-10-08,60728.94921875,61100.0,59600.0,60175.3515625,60170.90234375,9954
2020-10-09,60677.8984375,60677.8984375,58542.6484375,58784.8984375,58780.55078125,12645
2020-10-12,59298.0,59298.0,58174.05078125,58587.1015625,58582.76953125,9057
2020-10-13,58200.1015625,59439.19921875,58200.1015625,58589.94921875,58585.6171875,15742
2020-10-14,58700.0,59149.0,58000.0,58903.55078125,58899.1953125,16274
2020-10-15,59000.0,59246.3984375,58150.0,58454.6484375,58450.32421875,9112
