Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,24050.0,24276.5,23865.0,23950.30078125,23950.30078125,50972
2021-01-04,24140.0,24225.0,23862.0,24034.19921875,24034.19921875,39942
2021-01-05,24199.0,24199.0,23701.05078125,23895.5,23895.5,47363
2021-01-06,24084.0,24947.400390625,23850.0,24824.349609375,24824.349609375,73142
2021-01-07,24715.0,25200.0,24659.849609375,25002.150390625,25002.150390625,73979
2021-01-08,24960.0,25979.5,24960.0,25813.400390625,25813.400390625,76285
2021-01-11,25800.0,25950.0,25400.0,25569.30078125,25569.30078125,58276
2021-01-12,25549.0,25890.0,25221.0,25369.099609375,25369.099609375,47467
2021-01-13,25585.0,25600.0,24567.5,24726.400390625,24726.400390625,71497
2021-01-14,24802.0,24913.849609375,24475.0,24855.599609375,24855.599609375,34671
2021-01-15,24720.0,24844.69921875,24212.849609375,24413.80078125,24413.80078125,35232
2021-01-18,24400.0,24400.0,23610.0,23846.900390625,23846.900390625,41808
2021-01-19,23801.0,24474.849609375,23789.0,24374.5,24374.5,38386
2021-01-20,24470.0,24470.0,23835.650390625,23979.94921875,23979.94921875,48477
2021-01-21,24075.0,24299.80078125,23602.0,23719.0,23719.0,51819
2021-01-22,23799.0,24142.0,23612.44921875,23694.30078125,23694.30078125,52209
2021-01-25,24050.0,24050.0,23160.80078125,23255.650390625,23255.650390625,55464
2021-01-27,23270.0,23399.55078125,22745.19921875,22820.19921875,22820.19921875,62620
2021-01-28,22745.0,23189.849609375,22670.650390625,23106.30078125,23106.30078125,41756
2021-01-29,23250.0,23294.55078125,22531.0,22773.349609375,22773.349609375,58005
