,date,score,sentiment,price
0,2018-01-02,0.0849,1.0,10442.2001953125
1,2018-01-03,0.9913,1.0,10443.2001953125
2,2018-01-04,0.9846,1.0,10504.7998046875
3,2018-01-05,0.9887,1.0,10558.849609375
4,2018-01-08,0.9931,1.0,10623.599609375
5,2018-01-09,0.9712,1.0,10637.0
6,2018-01-10,0.9674,1.0,10632.2001953125
7,2018-01-11,0.9933,1.0,10651.2001953125
8,2018-01-12,0.9983,1.0,10681.25
9,2018-01-15,0.9842,1.0,10741.5498046875
10,2018-01-16,0.9846,1.0,10700.4501953125
11,2018-01-17,0.9961,1.0,10788.5498046875
12,2018-01-18,0.9862,1.0,10817.0
13,2018-01-19,0.9975,1.0,10894.7001953125
14,2018-01-22,0.9969,1.0,10966.2001953125
15,2018-01-23,0.9993,1.0,11083.7001953125
16,2018-01-24,0.9981,1.0,11086.0
17,2018-01-25,-0.9591,-1.0,11069.650390625
18,2018-01-29,0.9991,1.0,11130.400390625
19,2018-01-30,-0.996,-1.0,11049.650390625
20,2018-01-31,-0.7817,-1.0,11027.7001953125
21,2018-02-01,0.9996,1.0,11016.900390625
22,2018-02-02,-0.9903,-1.0,10760.599609375
23,2018-02-05,-0.8722,-1.0,10666.5498046875
24,2018-02-06,-0.975,-1.0,10498.25
25,2018-02-07,0.7697,1.0,10476.7001953125
26,2018-02-08,0.995,1.0,10576.849609375
27,2018-02-09,-0.9544,-1.0,10454.9501953125
28,2018-02-12,0.9169,1.0,10539.75
29,2018-02-14,0.9601,1.0,10500.900390625
30,2018-02-15,0.9892,1.0,10545.5
31,2018-02-16,0.8934,1.0,10452.2998046875
32,2018-02-19,-0.9485,-1.0,10378.400390625
33,2018-02-20,-0.9901,-1.0,10360.400390625
34,2018-02-21,0.9169,1.0,10397.4501953125
35,2018-02-22,-0.8781,-1.0,10382.7001953125
36,2018-02-23,0.8442,1.0,10491.0498046875
37,2018-02-26,0.9951,1.0,10582.599609375
38,2018-02-27,0.8402,1.0,10554.2998046875
39,2018-02-28,-0.9944,-1.0,10492.849609375
40,2018-03-01,-0.9916,-1.0,10458.349609375
41,2018-03-05,-0.4019,-1.0,10358.849609375
42,2018-03-06,0.5423,1.0,10249.25
43,2018-03-07,-0.9403,-1.0,10154.2001953125
44,2018-03-08,0.9536,1.0,10242.650390625
